"","Gene_Symbol","Ensembl_ID","PGG_Family","F_Statistic","P_Value","FDR"
"10295","KNOP1","ENST00000361529","NA","191.70762938974","1.404860537186e-40","9.52109796221511e-39"
"6945","SRP9","ENST00000417789","NA","190.54087981905","2.33110145008285e-40","1.57367559610671e-38"
"13976","GXYLT1P4","ENST00000426148","pgAmat6988.csv","190.338780445522","2.54492781540742e-40","1.71134017532572e-38"
"11235","FAM172A","ENST00000420241","pgAmat291.csv","190.078539341292","2.84946434151612e-40","1.90869933139851e-38"
"13880","DLST",NA,"NA","189.792729500438","3.22615163787801e-40","2.15267770678794e-38"
"421","CRB3","ENST00000479743","pgAmat18857.csv","189.442547735939","3.7563535524287e-40","2.49681931127203e-38"
"7838","AC073621.2","ENST00000451198","pgAmat17012.csv","187.400900599383","9.12811949973957e-40","6.04414410706894e-38"
"4678","PPP4R1L","ENST00000399683","NA","187.348378980935","9.33918595706498e-40","6.16029815687012e-38"
"9598","C1DP5","ENST00000435600","pgAmat28897.csv","186.286754676538","1.48272908823596e-39","9.74316505813454e-38"
"15700","TPM3",NA,"NA","185.869258215238","1.77849928556124e-39","1.16424335807081e-37"
"4717","CDK5","ENST00000602295","NA","185.48370005265","2.10389736126082e-39","1.37205864895507e-37"
"16785","ESRP1","ENST00000471534","NA","185.407364544448","2.17507539383636e-39","1.41314484798045e-37"
"416","CDC14C","ENST00000564145","pgAmat32444.csv","184.886866056076","2.72912149571482e-39","1.76646732917391e-37"
"17102","H2AFV","ENST00000567995","pgAmat41995.csv","184.337608548137","3.46783144774797e-39","2.2362336970142e-37"
"17057","TPT1P4",NA,"NA","184.028950308122","3.9677087072712e-39","2.54906847134055e-37"
"16734","TBC1D2B","ENST00000457048","pgAmat5535.csv","183.510473837902","4.97515227638787e-39","3.18446598668649e-37"
"16431","H3F3A","ENST00000552017","pgAmat25277.csv","182.629922748194","7.30775514154523e-39","4.6488418185329e-37"
"2494","RPL26L1","ENST00000437273","NA","182.627098761212","7.31677453211983e-39","4.6488418185329e-37"
"12253","MTHFD2P1","ENST00000417106","pgAmat1214.csv","182.397684568612","8.08800255143172e-39","5.12003150526897e-37"
"1834","CETN4P","ENST00000355202","NA","180.568617156213","1.79927030374025e-38","1.13485362734449e-36"
"9109","LRRC37A17P","ENST00000437005","pgAmat6349.csv","180.399681889454","1.93728438600919e-38","1.21745995487312e-36"
"6377","TLL1",NA,"NA","180.300479405688","2.02322094174327e-38","1.26685885200026e-36"
"10492","MRPL35P2","ENST00000477545","pgAmat22501.csv","179.687831255816","2.64537069387735e-38","1.65044391088767e-36"
"12371","RP11-54D18.2","ENST00000394836","NA","179.264644597546","3.18383769633036e-38","1.97924759237343e-36"
"11344","BET1P1","ENST00000425039","pgAmat13475.csv","178.502118481842","4.44632842355004e-38","2.75417375683842e-36"
"11794","SPC25",NA,"NA","177.584622647724","6.64723732055452e-38","4.1027698347794e-36"
"13499","ALG1",NA,"NA","177.504540344599","6.88477999701388e-38","4.23426220314569e-36"
"16205","PHACTR2","ENST00000435663","NA","177.492075369597","6.92251123717358e-38","4.24237018442673e-36"
"14214","CTA-242H14.1",NA,"NA","177.458757045087","7.02438509155985e-38","4.28959092411086e-36"
"11492","ST13P5","ENST00000557537","pgAmat13284.csv","177.317199865626","7.47422409453416e-38","4.54822326766688e-36"
"12682","JTB",NA,"NA","176.613672894981","1.01762235747513e-37","6.17071915153865e-36"
"3892","H2AFZ","ENST00000551091","pgAmat23014.csv","176.298388196707","1.16861318592395e-37","7.06152904864956e-36"
"12689","CTDSP2","ENST00000593916","NA","176.282675444511","1.17669945214743e-37","7.08561670104941e-36"
"684","NMD3P1",NA,"NA","175.797600896927","1.45591381742831e-37","8.73649395583194e-36"
"11791","SDHDP6","ENST00000519198","pgAmat23772.csv","175.063036694534","2.01015944021092e-37","1.20206143410813e-35"
"12909","OR2A9P","ENST00000445663","pgAmat16183.csv","174.996757974264","2.0695450521652e-37","1.23330612384548e-35"
"11275","AC013474.4",NA,"NA","174.963481062739","2.10002059711314e-37","1.24716687145393e-35"
"2838","RP11-79D8.2","ENST00000450880","pgAmat3165.csv","174.883921747886","2.17471707946554e-37","1.28710481394943e-35"
"2747","RP11-777F6.3","ENST00000428060","pgAmat15870.csv","174.409572479284","2.67869516904309e-37","1.57997303451886e-35"
"8676","HSD17B6",NA,"NA","174.074954440128","3.10311778920616e-37","1.82408440928778e-35"
"13847","ZNF727","ENST00000524504","pgAmat12280.csv","173.429298239056","4.12185439781837e-37","2.4147080577321e-35"
"3035","KCTD5","ENST00000540941","NA","173.325856052764","4.31371583805154e-37","2.51856882139212e-35"
"2818","ATP5F1P5","ENST00000609613","pgAmat7888.csv","173.094768391155","4.77527124041733e-37","2.77866119787516e-35"
"5715","EEF1A1P7","ENST00000462952","NA","172.670234719693","5.75599188682813e-37","3.33808898617999e-35"
"13461","KIF1C",NA,"NA","172.51396461968","6.16577454060765e-37","3.56377644183215e-35"
"16974","ISCU",NA,"NA","172.428529638131","6.40203554294671e-37","3.68799927510683e-35"
